ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Winning Team,Losing Team,Win Conditions,Home Stadium
34,British Championship,1884-03-29,Scotland,4,1,Wales,Scotland,Wales,,TRUE
35,British Championship,1885-02-28,England,4,0,Northern Ireland,England,Northern Ireland,,TRUE
36,British Championship,1885-03-14,England,1,1,Wales,,,,TRUE
37,British Championship,1885-03-21,England,1,1,Scotland,,,,TRUE
38,British Championship,1885-03-23,Wales,1,8,Scotland,Scotland,Wales,,TRUE
39,British Championship,1885-04-11,Northern Ireland,2,8,Wales,Wales,Northern Ireland,,TRUE
40,Friendly,1885-11-28,United States,0,1,Canada,Canada,United States,,TRUE
41,British Championship,1886-02-27,Wales,5,0,Northern Ireland,Wales,Northern Ireland,,TRUE
42,British Championship,1886-03-13,Northern Ireland,1,6,England,England,Northern Ireland,,TRUE
43,British Championship,1886-03-27,Scotland,1,1,England,,,,TRUE
44,British Championship,1886-03-29,Wales,1,3,England,England,Wales,,TRUE
45,British Championship,1886-04-10,Scotland,4,1,Wales,Scotland,Wales,,TRUE
46,Friendly,1886-11-25,United States,3,2,Canada,United States,Canada,,TRUE
47,British Championship,1887-02-05,England,7,0,Northern Ireland,England,Northern Ireland,,TRUE
48,British Championship,1887-02-26,England,4,0,Wales,England,Wales,,TRUE
49,British Championship,1887-03-12,Northern Ireland,4,1,Wales,Northern Ireland,Wales,,TRUE
50,British Championship,1887-03-19,England,2,3,Scotland,Scotland,England,,TRUE
51,British Championship,1887-03-21,Wales,0,2,Scotland,Scotland,Wales,,TRUE
52,British Championship,1888-02-04,England,5,1,Wales,England,Wales,,TRUE
53,British Championship,1888-03-03,Wales,11,0,Northern Ireland,Wales,Northern Ireland,,TRUE
54,British Championship,1888-03-10,Scotland,5,1,Wales,Scotland,Wales,,TRUE
55,British Championship,1888-03-17,Scotland,0,5,England,England,Scotland,,TRUE
56,British Championship,1888-04-07,Northern Ireland,1,5,England,England,Northern Ireland,,TRUE
57,Friendly,1888-09-19,Scotland,4,0,Canada,Scotland,Canada,,TRUE
58,British Championship,1889-02-23,England,4,1,Wales,England,Wales,,TRUE
59,British Championship,1889-03-02,England,6,1,Northern Ireland,England,Northern Ireland,,TRUE
60,British Championship,1889-04-13,England,2,3,Scotland,Scotland,England,,TRUE
61,British Championship,1889-04-15,Wales,0,0,Scotland,,,,TRUE
62,British Championship,1889-04-27,Northern Ireland,1,3,Wales,Wales,Northern Ireland,,TRUE
63,British Championship,1890-02-08,Wales,5,2,Northern Ireland,Wales,Northern Ireland,,FALSE
64,British Championship,1890-03-15,Northern Ireland,1,9,England,England,Northern Ireland,,TRUE
65,British Championship,1890-03-15,Wales,1,3,England,England,Wales,,TRUE
66,British Championship,1890-03-22,Scotland,5,0,Wales,Scotland,Wales,,TRUE
67,British Championship,1890-04-05,Scotland,1,1,England,,,,TRUE
68,British Championship,1891-02-07,Northern Ireland,7,2,Wales,Northern Ireland,Wales,,TRUE
69,British Championship,1891-03-07,England,4,1,Wales,England,Wales,,TRUE
70,British Championship,1891-03-07,England,6,1,Northern Ireland,England,Northern Ireland,,TRUE
71,British Championship,1891-03-21,Wales,3,4,Scotland,Scotland,Wales,,TRUE
72,British Championship,1891-04-06,England,2,1,Scotland,England,Scotland,,TRUE
73,British Championship,1892-02-27,Wales,1,1,Northern Ireland,,,,TRUE
74,British Championship,1892-03-05,Northern Ireland,0,2,England,England,Northern Ireland,,TRUE
75,British Championship,1892-03-05,Wales,0,2,England,England,Wales,,TRUE
76,British Championship,1892-03-26,Scotland,6,1,Wales,Scotland,Wales,,TRUE
77,British Championship,1892-04-02,Scotland,1,4,England,England,Scotland,,TRUE
78,British Championship,1893-02-25,England,6,1,Northern Ireland,England,Northern Ireland,,TRUE
79,British Championship,1893-03-13,England,6,0,Wales,England,Wales,,TRUE
80,British Championship,1893-03-18,Wales,0,8,Scotland,Scotland,Wales,,TRUE
81,British Championship,1893-04-01,England,5,2,Scotland,England,Scotland,,TRUE
82,British Championship,1894-02-24,Wales,4,1,Northern Ireland,Wales,Northern Ireland,,TRUE
83,British Championship,1894-03-03,Northern Ireland,2,2,England,,,,TRUE
84,British Championship,1894-03-12,Wales,1,5,England,England,Wales,,TRUE
85,British Championship,1894-03-24,Scotland,5,2,Wales,Scotland,Wales,,TRUE
86,British Championship,1894-04-07,Scotland,2,2,England,,,,TRUE
87,British Championship,1895-03-09,England,9,0,Northern Ireland,England,Northern Ireland,,TRUE
88,British Championship,1895-03-16,Northern Ireland,2,2,Wales,,,,TRUE
89,British Championship,1895-03-18,England,1,1,Wales,,,,TRUE
90,British Championship,1895-03-23,Wales,2,2,Scotland,,,,TRUE
91,British Championship,1895-04-06,England,3,0,Scotland,England,Scotland,,TRUE
92,British Championship,1896-02-29,Wales,6,1,Northern Ireland,Wales,Northern Ireland,,TRUE
93,British Championship,1896-03-07,Northern Ireland,0,2,England,England,Northern Ireland,,TRUE
94,British Championship,1896-03-16,Wales,1,9,England,England,Wales,,TRUE
95,British Championship,1896-03-21,Scotland,4,0,Wales,Scotland,Wales,,TRUE
96,British Championship,1896-04-04,Scotland,2,1,England,Scotland,England,,TRUE
97,British Championship,1897-02-20,England,6,0,Northern Ireland,England,Northern Ireland,,TRUE
98,British Championship,1897-03-06,Northern Ireland,4,3,Wales,Northern Ireland,Wales,,TRUE
99,British Championship,1897-03-20,Wales,2,2,Scotland,,,,TRUE
100,British Championship,1897-03-29,England,4,0,Wales,England,Wales,,TRUE
101,British Championship,1897-04-03,England,1,2,Scotland,Scotland,England,,TRUE
102,British Championship,1898-02-19,Wales,0,1,Northern Ireland,Northern Ireland,Wales,,TRUE
103,British Championship,1898-03-05,Northern Ireland,2,3,England,England,Northern Ireland,,TRUE
104,British Championship,1898-03-19,Scotland,5,2,Wales,Scotland,Wales,,TRUE
105,British Championship,1898-03-28,Wales,0,3,England,England,Wales,,TRUE
106,British Championship,1898-04-02,Scotland,1,3,England,England,Scotland,,TRUE
107,British Championship,1899-02-18,England,13,2,Northern Ireland,England,Northern Ireland,,TRUE
108,British Championship,1899-03-04,Northern Ireland,1,0,Wales,Northern Ireland,Wales,,TRUE
109,British Championship,1899-03-18,Wales,0,6,Scotland,Scotland,Wales,,TRUE
110,British Championship,1899-03-20,England,4,0,Wales,England,Wales,,TRUE
111,British Championship,1899-04-08,England,2,1,Scotland,England,Scotland,,TRUE
112,British Championship,1900/2/3,Scotland,5,2,Wales,Scotland,Wales,,TRUE
113,British Championship,1900/2/24,Wales,2,0,Northern Ireland,Wales,Northern Ireland,,TRUE
114,British Championship,1900/3/17,Northern Ireland,0,2,England,England,Northern Ireland,,TRUE
115,British Championship,1900/3/26,Wales,1,1,England,,,,TRUE
116,British Championship,1900/4/7,Scotland,4,1,England,Scotland,England,,TRUE
117,British Championship,1901/3/2,Wales,1,1,Scotland,,,,TRUE
118,British Championship,1901/3/9,England,3,0,Northern Ireland,England,Northern Ireland,,TRUE
119,British Championship,1901/3/18,England,6,0,Wales,England,Wales,,TRUE
120,British Championship,1901/3/23,Northern Ireland,0,1,Wales,Wales,Northern Ireland,,TRUE
121,British Championship,1901/3/30,England,2,2,Scotland,,,,TRUE
122,British Championship,1902/2/22,Wales,0,3,Northern Ireland,Northern Ireland,Wales,,TRUE
123,British Championship,1902/3/3,Wales,0,0,England,,,,TRUE
124,British Championship,1902/3/15,Scotland,5,1,Wales,Scotland,Wales,,TRUE
125,British Championship,1902/3/22,Northern Ireland,0,1,England,England,Northern Ireland,,TRUE
126,British Championship,1902/5/3,England,2,2,Scotland,,,,TRUE
127,Friendly,1902/7/20,Uruguay,0,6,Argentina,Argentina,Uruguay,,TRUE
128,British Championship,1903/2/14,England,4,0,Northern Ireland,England,Northern Ireland,,TRUE
129,British Championship,1903/3/2,England,2,1,Wales,England,Wales,,TRUE
130,British Championship,1903/3/9,Wales,0,1,Scotland,Scotland,Wales,,TRUE
131,British Championship,1903/3/28,Northern Ireland,2,0,Wales,Northern Ireland,Wales,,TRUE
132,British Championship,1903/4/4,England,1,2,Scotland,Scotland,England,,TRUE
133,Friendly,1903/9/13,Argentina,2,3,Uruguay,Uruguay,Argentina,,TRUE
134,British Championship,1904/2/29,Wales,2,2,England,,,,TRUE
135,British Championship,1904/3/12,Northern Ireland,1,3,England,England,Northern Ireland,,TRUE
136,British Championship,1904/3/12,Scotland,1,1,Wales,,,,TRUE
137,British Championship,1904/3/21,Wales,0,1,Northern Ireland,Northern Ireland,Wales,,TRUE
138,British Championship,1904/4/9,Scotland,0,1,England,England,Scotland,,TRUE
139,Friendly,1904/5/1,Belgium,3,3,France,,,,TRUE
140,Friendly,1905/2/12,France,1,0,Switzerland,France,Switzerland,,TRUE
141,British Championship,1905/2/25,England,1,1,Northern Ireland,,,,TRUE
142,British Championship,1905/3/6,Wales,3,1,Scotland,Wales,Scotland,,TRUE
143,British Championship,1905/3/27,England,3,1,Wales,England,Wales,,TRUE
144,British Championship,1905/4/1,England,1,0,Scotland,England,Scotland,,TRUE
145,British Championship,1905/4/8,Northern Ireland,2,2,Wales,,,,TRUE
146,Friendly,1905/4/30,Belgium,1,4,Netherlands,Netherlands,Belgium,,TRUE
147,Friendly,1905/5/7,Belgium,7,0,France,Belgium,France,,TRUE
148,Friendly,1905/5/14,Netherlands,4,0,Belgium,Netherlands,Belgium,,TRUE
149,Copa Lipton,1905/8/15,Argentina,0,0,Uruguay,,,,TRUE
150,British Championship,1906/2/17,Northern Ireland,0,5,England,England,Northern Ireland,,TRUE
151,British Championship,1906/3/3,Scotland,0,2,Wales,Wales,Scotland,,TRUE
152,British Championship,1906/3/19,Wales,0,1,England,England,Wales,,TRUE
153,British Championship,1906/4/2,Wales,4,4,Northern Ireland,,,,TRUE
154,British Championship,1906/4/7,Scotland,2,1,England,Scotland,England,,TRUE
155,Friendly,1906/4/22,France,0,5,Belgium,Belgium,France,,TRUE
156,Friendly,1906/4/29,Belgium,5,0,Netherlands,Belgium,Netherlands,,TRUE
157,Friendly,1906/5/13,Netherlands,2,3,Belgium,Belgium,Netherlands,,TRUE
158,Copa Lipton,1906/8/15,Uruguay,0,2,Argentina,Argentina,Uruguay,,TRUE
159,Copa Newton,1906/10/21,Argentina,2,1,Uruguay,Argentina,Uruguay,,TRUE
160,British Championship,1907/2/16,England,1,0,Northern Ireland,England,Northern Ireland,,TRUE
161,British Championship,1907/2/23,Northern Ireland,2,3,Wales,Wales,Northern Ireland,,TRUE
162,British Championship,1907/3/4,Wales,1,0,Scotland,Wales,Scotland,,TRUE
163,British Championship,1907/3/18,England,1,1,Wales,,,,TRUE
164,British Championship,1907/4/6,England,1,1,Scotland,,,,TRUE
165,Friendly,1907/4/14,Belgium,1,3,Netherlands,Netherlands,Belgium,,TRUE
166,Friendly,1907/4/21,Belgium,1,2,France,France,Belgium,,TRUE
167,Friendly,1907/5/9,Netherlands,1,2,Belgium,Belgium,Netherlands,,TRUE
168,British Championship,1908/2/15,Northern Ireland,1,3,England,England,Northern Ireland,,TRUE
169,British Championship,1908/3/7,Scotland,2,1,Wales,Scotland,Wales,,TRUE
170,Friendly,1908/3/8,Switzerland,1,2,France,France,Switzerland,,TRUE
171,British Championship,1908/3/16,Wales,1,7,England,England,Wales,,TRUE
172,Friendly,1908/3/29,Belgium,1,4,Netherlands,Netherlands,Belgium,,TRUE
173,British Championship,1908/4/4,Scotland,1,1,England,,,,TRUE
174,Friendly,1908/4/5,Switzerland,5,3,Germany,Switzerland,Germany,,TRUE
175,British Championship,1908/4/11,Wales,0,1,Northern Ireland,Northern Ireland,Wales,,TRUE
176,Friendly,1908/4/12,France,1,2,Belgium,Belgium,France,,TRUE
177,Friendly,1908/4/26,Netherlands,3,1,Belgium,Netherlands,Belgium,,TRUE
178,Friendly,1908/5/10,Netherlands,4,1,France,Netherlands,France,,TRUE
179,Friendly,1908/6/6,Austria,1,6,England,England,Austria,,TRUE
180,Friendly,1908/6/7,Austria,3,2,Germany,Austria,Germany,,TRUE
181,Friendly,1908/6/8,Austria,1,11,England,England,Austria,,TRUE
182,Friendly,1908/6/10,Hungary,0,7,England,England,Hungary,,TRUE
183,Friendly,1908/6/13,Czechoslovakia,0,4,England,England,Czechoslovakia,,TRUE
184,Copa Lipton,1908/8/15,Uruguay,2,2,Argentina,,,,TRUE
185,Copa Newton,1908/9/13,Argentina,2,1,Uruguay,Argentina,Uruguay,,TRUE
186,Copa Premio Honor Argentino,1908/10/4,Argentina,0,1,Uruguay,Uruguay,Argentina,,TRUE
187,Friendly,1908/10/25,Netherlands,5,3,Sweden,Netherlands,Sweden,,TRUE
188,Friendly,1908/10/26,Belgium,2,1,Sweden,Belgium,Sweden,,TRUE
189,British Championship,1909/2/13,England,4,0,Northern Ireland,England,Northern Ireland,,TRUE
190,British Championship,1909/3/1,Wales,3,2,Scotland,Wales,Scotland,,TRUE
191,British Championship,1909/3/15,England,2,0,Wales,England,Wales,,TRUE
192,British Championship,1909/3/20,Northern Ireland,2,3,Wales,Wales,Northern Ireland,,TRUE
193,Friendly,1909/3/21,Belgium,1,4,Netherlands,Netherlands,Belgium,,TRUE
194,British Championship,1909/4/3,England,2,0,Scotland,England,Scotland,,TRUE
195,Friendly,1909/4/4,Germany,1,0,Switzerland,Germany,Switzerland,,TRUE
196,Friendly,1909/4/4,Hungary,3,3,Germany,,,,TRUE
197,Friendly,1909/4/25,Netherlands,4,1,Belgium,Netherlands,Belgium,,TRUE
198,Friendly,1909/5/9,Belgium,5,2,France,Belgium,France,,TRUE
199,Friendly,1909/5/29,Hungary,2,4,England,England,Hungary,,TRUE
200,Friendly,1909/5/31,Hungary,2,8,England,England,Hungary,,TRUE
201,Friendly,1909/6/1,Austria,1,8,England,England,Austria,,TRUE
202,Copa Lipton,1909/8/15,Argentina,2,1,Uruguay,Argentina,Uruguay,,TRUE
203,Copa Newton,1909/9/19,Uruguay,2,2,Argentina,,,,TRUE
204,Copa Premio Honor Argentino,1909/10/10,Argentina,3,1,Uruguay,Argentina,Uruguay,,TRUE
205,British Championship,1910/2/12,Northern Ireland,1,1,England,,,,TRUE
206,British Championship,1910/3/5,Scotland,1,0,Wales,Scotland,Wales,,TRUE
207,Friendly,1910/3/13,Belgium,3,2,Netherlands,Belgium,Netherlands,,TRUE
208,British Championship,1910/3/14,Wales,0,1,England,England,Wales,,TRUE
209,British Championship,1910/4/2,Scotland,2,0,England,Scotland,England,,TRUE
210,Friendly,1910/4/3,France,0,4,Belgium,Belgium,France,,TRUE
211,Friendly,1910/4/3,Switzerland,2,3,Germany,Germany,Switzerland,,TRUE
212,Friendly,1910/4/10,Netherlands,7,0,Belgium,Netherlands,Belgium,,TRUE
213,British Championship,1910/4/11,Wales,4,1,Northern Ireland,Wales,Northern Ireland,,TRUE
214,Friendly,1910/4/24,Netherlands,4,2,Germany,Netherlands,Germany,,TRUE
215,Friendly,1910/5/15,Italy,6,2,France,Italy,France,,TRUE
216,Friendly,1910/5/16,Germany,0,3,Belgium,Belgium,Germany,,TRUE
217,Friendly,1910/5/27,Argentina,3,1,Chile,Argentina,Chile,,TRUE
218,Friendly,1910/5/29,Chile,0,3,Uruguay,Uruguay,Chile,,FALSE
219,Friendly,1910/6/5,Argentina,5,1,Chile,Argentina,Chile,,TRUE
220,Friendly,1910/6/12,Argentina,4,1,Uruguay,Argentina,Uruguay,,TRUE
221,Copa Lipton,1910/8/15,Uruguay,3,1,Argentina,Uruguay,Argentina,,TRUE
222,Friendly,1910/9/11,Chile,0,3,Argentina,Argentina,Chile,,TRUE
223,Friendly,1910/10/16,Germany,1,2,Netherlands,Netherlands,Germany,,TRUE
224,Copa Premio Honor Argentino,1910/11/13,Argentina,1,1,Uruguay,,,,TRUE
225,Copa Premio Honor Argentino,1910/11/27,Argentina,2,6,Uruguay,Uruguay,Argentina,,TRUE
226,Friendly,1911/1/1,France,0,3,Hungary,Hungary,France,,TRUE
227,Friendly,1911/1/8,Switzerland,2,0,Hungary,Switzerland,Hungary,,TRUE
228,British Championship,1911/1/28,Northern Ireland,1,2,Wales,Wales,Northern Ireland,,TRUE
229,British Championship,1911/2/11,England,2,1,Northern Ireland,England,Northern Ireland,,TRUE
230,British Championship,1911/3/6,Wales,2,2,Scotland,,,,TRUE
231,British Championship,1911/3/13,England,3,0,Wales,England,Wales,,TRUE
232,Friendly,1911/3/19,Belgium,1,5,Netherlands,Netherlands,Belgium,,TRUE
233,Friendly,1911/3/26,Germany,6,2,Switzerland,Germany,Switzerland,,TRUE
234,British Championship,1911/4/1,England,1,1,Scotland,,,,TRUE
235,Friendly,1911/4/2,Netherlands,3,1,Belgium,Netherlands,Belgium,,TRUE
236,Friendly,1911/4/9,France,2,2,Italy,,,,TRUE
237,Friendly,1911/4/23,Belgium,2,1,Germany,Belgium,Germany,,TRUE
238,Friendly,1911/4/23,Switzerland,5,2,France,Switzerland,France,,TRUE
239,Friendly,1911/4/30,Belgium,7,1,France,Belgium,France,,TRUE
240,Friendly,1911/5/7,Italy,2,2,Switzerland,,,,TRUE
241,Friendly,1911/5/21,Switzerland,3,0,Italy,Switzerland,Italy,,TRUE
242,Friendly,1911/6/18,Sweden,2,4,Germany,Germany,Sweden,,TRUE
243,Copa Lipton,1911/8/15,Argentina,0,2,Uruguay,Uruguay,Argentina,,TRUE
244,Copa Newton,1911/9/17,Uruguay,2,3,Argentina,Argentina,Uruguay,,TRUE
245,Copa Premio Honor Uruguayo,1911/10/8,Uruguay,1,1,Argentina,,,,TRUE
246,Friendly,1911/10/9,Germany,1,2,Austria,Austria,Germany,,TRUE
247,Copa Premio Honor Argentino,1911/10/22,Argentina,2,0,Uruguay,Argentina,Uruguay,,TRUE
248,Friendly,1911/10/29,Germany,1,3,Sweden,Sweden,Germany,,TRUE
249,Friendly,1911/10/29,Hungary,9,0,Switzerland,Hungary,Switzerland,,TRUE
250,Friendly,1911/10/29,Luxembourg,1,4,France,France,Luxembourg,,TRUE
251,Copa Premio Honor Uruguayo,1911/10/29,Uruguay,3,0,Argentina,Uruguay,Argentina,,TRUE
252,Friendly,1911/12/17,Germany,1,4,Hungary,Hungary,Germany,,TRUE
253,Friendly,1912/1/28,France,1,1,Belgium,,,,TRUE
254,British Championship,1912/2/10,Northern Ireland,1,6,England,England,Northern Ireland,,TRUE
255,Friendly,1912/2/10,France,7,0,Catalonia,France,Catalonia,,TRUE
256,Friendly,1912/2/18,France,4,1,Switzerland,France,Switzerland,,TRUE
257,Friendly,1912/2/20,Belgium,9,2,Switzerland,Belgium,Switzerland,,TRUE
258,British Championship,1912/3/2,Scotland,1,0,Wales,Scotland,Wales,,TRUE
259,Friendly,1912/3/10,Belgium,1,2,Netherlands,Netherlands,Belgium,,TRUE
260,British Championship,1912/3/11,Wales,0,2,England,England,Wales,,TRUE
261,Friendly,1912/3/17,Italy,3,4,France,France,Italy,,TRUE
262,British Championship,1912/3/23,Scotland,1,1,England,,,,TRUE
263,Friendly,1912/3/24,Netherlands,5,5,Germany,,,,TRUE
264,British Championship,1912/4/13,Wales,2,3,Northern Ireland,Northern Ireland,Wales,,TRUE
265,Friendly,1912/4/14,Hungary,4,4,Germany,,,,TRUE
266,Friendly,1912/4/28,Netherlands,4,3,Belgium,Netherlands,Belgium,,TRUE
267,Friendly,1912/5/5,Switzerland,1,2,Germany,Germany,Switzerland,,TRUE
268,Friendly,1912/7/5,Netherlands,3,1,Austria,Netherlands,Austria,,FALSE
269,Copa Lipton,1912/8/15,Uruguay,2,0,Argentina,Uruguay,Argentina,,TRUE
270,Copa Premio Honor Uruguayo,1912/8/25,Uruguay,3,0,Argentina,Uruguay,Argentina,,TRUE
271,Copa Premio Honor Argentino,1912/9/22,Argentina,0,1,Uruguay,Uruguay,Argentina,,TRUE
272,Copa Newton,1912/10/6,Argentina,3,3,Uruguay,,,,TRUE
273,Friendly,1912/10/6,Denmark,3,1,Germany,Denmark,Germany,,TRUE
274,Friendly,1912/11/17,Germany,2,3,Netherlands,Netherlands,Germany,,TRUE
275,Friendly,1912/12/1,Uruguay,1,3,Argentina,Argentina,Uruguay,,TRUE
276,Friendly,1912/12/1,Catalonia,1,0,France,Catalonia,France,,TRUE
277,Friendly,1913/1/12,France,1,0,Italy,France,Italy,,TRUE
278,British Championship,1913/1/18,Northern Ireland,0,1,Wales,Wales,Northern Ireland,,TRUE
279,British Championship,1913/2/15,Northern Ireland,2,1,England,Northern Ireland,England,,TRUE
280,Friendly,1913/2/16,Belgium,3,0,France,Belgium,France,,TRUE
281,British Championship,1913/3/3,Wales,0,0,Scotland,,,,TRUE
282,Friendly,1913/3/9,Belgium,3,3,Netherlands,,,,TRUE
283,Friendly,1913/3/9,Switzerland,1,4,France,France,Switzerland,,TRUE
284,British Championship,1913/3/17,England,4,3,Wales,England,Wales,,TRUE
285,British Championship,1913/4/5,England,1,0,Scotland,England,Scotland,,TRUE
286,Friendly,1913/4/20,France,8,0,Luxembourg,France,Luxembourg,,TRUE
287,Friendly,1913/4/20,Netherlands,2,4,Belgium,Belgium,Netherlands,,TRUE
288,Friendly,1913/5/1,Italy,1,0,Belgium,Italy,Belgium,,TRUE
289,Friendly,1913/5/4,Switzerland,1,2,Belgium,Belgium,Switzerland,,TRUE
290,Friendly,1913/5/18,Germany,1,2,Switzerland,Switzerland,Germany,,TRUE
291,Friendly,1913/5/25,Denmark,8,0,Sweden,Denmark,Sweden,,TRUE
292,Friendly,1913/6/15,Argentina,1,1,Uruguay,,,,TRUE
293,Friendly,1913/7/9,Argentina,2,1,Uruguay,Argentina,Uruguay,,TRUE
294,Copa Lipton,1913/8/15,Argentina,4,0,Uruguay,Argentina,Uruguay,,TRUE
295,Copa Premio Honor Argentino,1913/8/31,Argentina,2,0,Uruguay,Argentina,Uruguay,,TRUE
296,Friendly,1913/9/21,Chile,0,2,Argentina,Argentina,Chile,,TRUE
297,Friendly,1913/10/5,Sweden,0,10,Denmark,Denmark,Sweden,,TRUE
298,Copa Premio Honor Uruguayo,1913/10/5,Uruguay,1,0,Argentina,Uruguay,Argentina,,TRUE
299,Friendly,1913/10/26,Germany,1,4,Denmark,Denmark,Germany,,TRUE
300,Copa Newton,1913/10/26,Uruguay,1,0,Argentina,Uruguay,Argentina,,TRUE
301,Friendly,1913/11/2,Belgium,2,0,Switzerland,Belgium,Switzerland,,TRUE
302,Friendly,1913/11/23,Belgium,6,2,Germany,Belgium,Germany,,TRUE
303,British Championship,1914/1/19,Wales,1,2,Northern Ireland,Northern Ireland,Wales,,TRUE
304,Friendly,1914/1/25,France,4,3,Belgium,France,Belgium,,TRUE
305,Friendly,1914/2/8,Luxembourg,5,4,France,Luxembourg,France,,TRUE
306,British Championship,1914/2/14,England,0,3,Northern Ireland,Northern Ireland,England,,TRUE
307,British Championship,1914/2/28,Scotland,0,0,Wales,,,,TRUE
308,Friendly,1914/3/8,France,2,2,Switzerland,,,,TRUE
309,Friendly,1914/3/15,Belgium,2,4,Netherlands,Netherlands,Belgium,,TRUE
310,British Championship,1914/3/16,Wales,0,2,England,England,Wales,,TRUE
311,Friendly,1914/3/29,Italy,2,0,France,Italy,France,,TRUE
312,Friendly,1914/4/5,Italy,1,1,Switzerland,,,,TRUE
313,Friendly,1914/4/5,Netherlands,4,4,Germany,,,,TRUE
314,British Championship,1914/4/14,Scotland,3,1,England,Scotland,England,,TRUE
315,Friendly,1914/4/26,Netherlands,4,2,Belgium,Netherlands,Belgium,,TRUE
316,Friendly,1914/5/17,Denmark,4,3,Netherlands,Denmark,Netherlands,,TRUE
317,Friendly,1914/5/17,Switzerland,0,1,Italy,Italy,Switzerland,,TRUE
318,Friendly,1914/5/31,Hungary,5,1,France,Hungary,France,,TRUE
319,Copa Premio Honor Uruguayo,1914/8/30,Uruguay,3,2,Argentina,Uruguay,Argentina,,TRUE
320,Copa Premio Honor Argentino,1914/9/13,Argentina,2,1,Uruguay,Argentina,Uruguay,,TRUE
321,Friendly,1914/9/20,Argentina,3,0,Brazil,Argentina,Brazil,,TRUE
322,Copa Roca,1914/9/27,Argentina,0,1,Brazil,Brazil,Argentina,,TRUE
323,Friendly,1915/1/31,Italy,3,1,Switzerland,Italy,Switzerland,,TRUE
324,Friendly,1915/6/6,Denmark,2,0,Sweden,Denmark,Sweden,,TRUE
325,Copa Premio Honor Uruguayo,1915/7/18,Uruguay,2,3,Argentina,Argentina,Uruguay,,TRUE
326,Copa Lipton,1915/8/15,Argentina,2,1,Uruguay,Argentina,Uruguay,,TRUE
327,Copa Newton,1915/9/12,Uruguay,2,0,Argentina,Uruguay,Argentina,,TRUE
328,Friendly,1915/9/19,Denmark,8,1,Norway,Denmark,Norway,,TRUE
329,Friendly,1915/10/31,Sweden,0,2,Denmark,Denmark,Sweden,,TRUE
330,Friendly,1916/6/4,Denmark,2,0,Sweden,Denmark,Sweden,,TRUE
331,Friendly,1916/6/25,Norway,0,2,Denmark,Denmark,Norway,,TRUE
332,Copa America,1916/7/2,Chile,0,4,Uruguay,Uruguay,Chile,,FALSE
333,Copa America,1916/7/6,Argentina,6,1,Chile,Argentina,Chile,,TRUE
